center,angle
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[36 69],177.1875
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[37 79],163.125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[39 50],143.4375
[28 79],2.8125
[28 79],2.8125
[28 79],2.8125
[40 47],143.4375
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[  9 139],154.6875
[28 79],2.8125
[28 79],2.8125
[28 79],2.8125
[28 79],2.8125
[28 79],2.8125
[28 79],2.8125
[28 79],2.8125
[28 79],2.8125
[28 79],2.8125
[28 79],2.8125
[28 79],2.8125
[28 79],2.8125
[28 79],2.8125
[28 79],2.8125
[28 79],2.8125
[28 79],2.8125
[28 79],2.8125
[28 79],2.8125
[28 79],2.8125
[28 79],2.8125
[28 79],2.8125
[28 79],2.8125
[28 79],2.8125
[28 79],2.8125
[28 79],2.8125
[28 79],2.8125
[28 79],2.8125
[28 79],2.8125
[28 79],2.8125
[28 79],2.8125
[28 79],2.8125
[28 79],2.8125
[28 79],2.8125
[28 79],2.8125
[28 79],2.8125
[37 46],140.625
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[42 51],143.4375
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[43 53],143.4375
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[40 54],137.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[31 64],137.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[28 78],2.8125
[91 20],126.5625
[28 78],2.8125
[93 21],126.5625
[28 77],2.8125
[28 77],2.8125
[96 22],129.375
[28 77],2.8125
[28 77],2.8125
[99 24],64.6875
[28 77],2.8125
[112  14],126.5625
[28 77],2.8125
[115  15],126.5625
[28 77],2.8125
[28 77],2.8125
[116   8],120.9375
[29 76],2.8125
[29 76],2.8125
[118  16],126.5625
[29 76],2.8125
[29 76],2.8125
[119   9],126.5625
[29 76],2.8125
